time,x,y,z
1,.755,.561,.258
4,-.337,-.300,-.274
42,-.343,.418,.097
46,-.311,-.020,-.051
60,-.135,.049,-.031
73,-.202,.182,-.065
96,-.120,.184,-.117
112,-.004,.081,-.263
132,.030,.186,-.247
152,.030,.180,-.269
180,.136,.082,-.268
192,.192,.069,-.374
212,.296,.012,-.315
232,.322,-.090,-.085
252,.343,-.110,.010
270,.339,.052,.009
295,.283,.021,.056
313,.170,-.034,.078
331,.169,.005,.105
351,.202,-.019,.004
373,.131,-.054,.051
396,.140,-.015,.128
410,.007,-.100,.170
434,.069,.029,.127
451,.062,.108,-.052
469,.036,.205,-.058
491,-.130,.170,-.040
509,-.008,.072,.157
529,.065,.137,.167
548,.029,.113,-.039
570,.040,.046,-.117
590,-.011,.292,-.160
611,-.186,.238,-.064
633,-.139,.199,.037
650,-.182,.261,-.020
670,-.185,.114,-.181
692,-.028,.056,-.225
710,-.105,.255,-.093
732,-.158,.015,.119
749,-.019,.085,-.020
768,-.023,.088,-.158
789,.005,.128,-.162
809,-.001,.034,-.056
830,.073,-.093,.057
849,.041,.086,.102
868,.054,.062,.020
893,.248,-.030,-.341
913,.073,.059,-.376
934,-.037,.017,-.001
953,.112,-.154,.265
980,.244,-.185,.116
992,.500,-.085,-.151
1009,.666,-.229,-1.021
1029,.587,-.609,-2.537
1048,.601,-.945,.129
1067,-1.258,.690,2.039
1087,-.235,1.392,5.092
1107,-2.279,3.466,.300
1126,-.314,-.345,-2.088
1147,1.455,-3.063,-2.285
1169,.265,.893,-1.789
1189,-1.594,1.203,1.893
1206,-1.131,-.537,3.400
1227,-.777,-1.934,.589
1246,-.225,.309,.722
1267,.019,3.861,-.235
1287,-.468,1.394,.928
1305,.657,.242,-1.202
1326,2.895,-2.657,-4.070
1349,-.805,1.810,-1.249
1371,-.882,.647,.235
1391,.422,-.737,.013
1405,.265,-.739,-.293
1426,.572,-.036,-.620
1451,.607,-1.163,-3.101
1471,.709,-2.862,-2.866
1489,1.017,-1.447,1.484
1511,.255,.266,3.100
1525,-.101,.830,1.463
1545,-2.882,2.144,9.648
1564,.708,3.665,-5.335
1586,.888,-2.415,-1.148
1610,1.516,-.366,-2.614
1625,-2.034,1.765,2.255
1645,-.633,.222,2.320
1664,-.605,-1.849,1.097
1685,-.176,.230,.253
1704,-.285,2.899,-.194
1724,.583,1.213,-.197
1744,.450,-.471,-1.547
1764,2.245,-2.609,-3.823
1785,-.586,1.575,-.730
1804,-.692,.203,.237
1823,-.048,-.906,.315
1844,-.325,-.596,.567
1870,-.225,-.133,.648
1884,.125,-.068,.493
1909,.285,-.173,.088
1926,.368,.296,.150
1949,.133,.177,-.083
1981,.305,.166,-.138
1991,.174,.203,-.178
2009,.231,.168,-.022
2025,.174,.165,.065
2043,.168,-.002,-.006
2062,.059,.187,.109
2083,.128,.225,-.054
2102,.098,-.002,-.197
2123,.207,-.041,-.062
2143,.025,-.133,.054
2163,.167,-.195,.197
2183,.219,-.060,.098
2203,.257,.015,-.005
2223,.321,.219,-.279
2243,.276,.117,-.087
2260,.441,.033,-.048
2281,.414,-.053,.033
2308,.332,-.082,.088
2332,.230,-.090,.097
2340,.177,-.065,-.097
2362,.105,.181,.029
2382,-.002,.157,.188
2404,-.140,.108,.050
2427,-.347,.092,.184
2449,-.370,.044,.120
2461,-.414,.129,.169
2481,-.372,.181,.133
2500,-.340,.213,-.004
2521,-.353,.432,-.060
2542,-.217,.292,-.183
2560,-.123,.292,-.144
2582,-.121,.297,-.163
2599,.038,.330,-.223
2621,.048,.264,-.169
2639,.023,.177,-.095
2659,.165,.220,-.011
2681,.279,.141,.015
2701,.397,-.045,.101
2728,.333,-.101,.139
2745,.321,.052,.052
2765,.254,.136,-.034
2784,.328,.042,.016
2805,.239,.020,.061
2828,.198,.000,-.021
2845,.188,-.007,-.086
2857,.154,.034,-.005
2884,.102,.059,.021
2898,.105,.033,-.036
2929,.184,.002,-.023
2944,.086,.106,-.028
2963,.090,-.037,-.051
2978,.017,-.103,-.035
3000,.097,-.085,-.015
3027,.117,-.014,.022
3037,-.003,-.034,-.044
3059,.041,.050,-.269
3079,-.034,.086,-.214
3099,.021,.106,-.027
3121,.168,.045,.034
3139,.273,-.015,-.021
3157,.758,-.135,-.268
3180,.715,-.150,-1.049
3200,.798,-.873,-3.569
3223,-.073,-2.401,-2.411
3238,1.177,-1.465,-.393
3260,.563,3.617,3.675
3279,-6.095,4.543,8.451
3300,.582,-.264,-7.451
3321,2.743,-2.508,-1.814
3339,.047,1.483,-.047
3356,-2.870,1.266,3.385
3378,-.473,-.773,2.559
3400,-.076,-1.447,.329
3420,-.394,1.063,.009
3436,.012,2.728,-.294
3458,-.526,.112,.773
3477,.752,.721,-.162
3499,.178,-3.167,-2.936
3521,.870,.628,-1.822
3539,-.801,.557,-.447
3557,.167,-.303,-.468
3580,.122,-.459,.123
3599,.545,-.213,.359
3618,.642,-.440,-.665
3636,1.133,-.887,-2.398
3658,.581,-.990,-1.072
3676,.364,-1.557,.495
3696,1.090,.302,1.109
3718,-2.488,1.118,9.020
3737,-2.232,3.195,-2.536
3756,1.217,.801,-3.127
3776,2.209,-3.314,-3.686
3795,.766,1.349,-.315
3819,-3.081,1.364,1.558
3837,.013,-1.310,3.069
3857,-.073,-.680,.268
3877,.001,2.744,-.002
3897,-.844,1.736,.192
3917,.144,-.808,.076
3946,.135,.194,-.141
3953,.854,.055,-.840
3975,.694,-.223,-1.403
3996,-.112,.798,-.193
4019,-.316,.430,.646
4036,.410,.766,.748
4056,-.378,-1.529,-.813
4076,.702,-.808,-.211
4096,-.373,.531,.367
4117,.059,-.081,.043
4136,.181,-.329,-.062
4153,.064,.046,.145
4175,.143,.154,.032
4194,.049,-.063,.052
4218,.162,.082,.171
4235,.014,.210,.188
4255,.026,.076,.038
4278,.106,-.046,-.025
4295,.045,-.042,-.064
4315,.051,.107,.012
4334,.053,.048,.267
4353,.057,.017,.306
4374,.100,.164,.149
4394,.060,.149,.116
4413,.036,.030,.122
4440,.122,.003,.143
4459,.267,.069,.173
4478,.226,.128,.136
4500,.162,-.041,-.028
4513,.094,-.174,-.109
4538,.023,.042,.058
4552,-.189,-.058,.026
4576,.072,-.267,.097
4591,.066,-.101,.059
4622,-.001,-.052,.157
4633,-.096,-.097,-.011
4652,.044,-.038,-.025
4679,-.112,.027,.138
4690,-.169,-.058,.259
4716,-.189,-.043,.349
4736,-.254,-.095,.353
4755,-.311,.027,.398
4776,-.318,.015,.354
4789,-.243,-.152,.159
4815,.029,-.196,.327
4835,.244,.038,.473
4855,.238,.055,.351
4876,.204,.188,-.011
4897,.052,.253,-.320
4929,.015,.471,-.384
4932,.008,.487,-.442
4950,.016,.498,-.468
4970,.053,.384,-.539
4994,.123,.335,-.418
5025,.027,.237,-.401
5030,.008,.091,-.283
5049,-.052,.089,-.076
5069,-.066,.116,-.015
5089,.052,-.101,.044
