time,x,y,z
7,-.040,-.028,.053
10,.016,-.018,.061
14,-.032,-.047,.060
49,.011,-.045,.065
52,.005,-.052,.071
69,-.033,-.055,.066
93,-.027,-.045,.061
109,-.017,-.036,.071
128,-.036,-.034,.072
148,-.058,-.034,.064
170,-.046,-.029,.055
188,-.039,-.015,.033
208,-.050,-.011,.010
228,-.039,-.019,-.004
248,-.013,-.023,-.006
274,-.021,-.030,-.028
299,-.016,-.033,-.051
309,-.011,-.035,-.061
334,-.025,-.035,-.081
347,-.022,-.034,-.114
375,.018,-.031,-.138
399,.048,-.042,-.159
413,.054,-.046,-.156
432,.051,-.042,-.150
447,.050,-.026,-.150
466,.056,-.028,-.160
488,.059,-.040,-.166
512,.051,-.036,-.144
527,.061,-.031,-.133
550,.106,-.028,-.131
568,.146,-.007,-.111
587,.116,-.006,-.096
612,.087,-.012,-.078
629,.045,-.011,-.049
652,.008,-.017,-.032
672,.018,.000,-.015
689,.017,.016,.000
711,-.007,.004,.001
728,-.001,-.003,.018
751,-.008,.003,.036
770,-.003,.007,.042
791,-.012,.005,.031
812,-.012,-.004,.036
828,.004,-.017,.045
851,-.001,-.026,.037
869,.012,-.015,.040
895,.031,.016,.051
915,-.025,.008,.038
938,-.083,-.026,.025
955,-.082,-.020,.033
973,-.027,.035,.021
990,-.006,.046,-.033
1006,.143,.143,-.109
1025,.241,.264,-.128
1049,-.033,.146,-.032
1068,-.211,-.177,-.226
1083,-1.631,.427,.142
1108,-2.018,-.293,.353
1127,-.427,-.200,-.243
1146,.710,.053,.064
1167,.711,.262,-.282
1190,.328,.234,-.559
1207,.231,-.052,.017
1226,.736,-.123,.216
1247,.368,-.217,.257
1264,-.300,-.504,.259
1288,-.382,-.307,.365
1306,.055,-.073,.187
1325,.281,.180,.243
1350,-.144,.168,.116
1372,-.476,.104,.076
1392,-.276,.145,.149
1406,-.090,.202,.109
1427,-.067,.252,.011
1452,.132,.332,-.171
1472,.632,.347,-.250
1490,.554,.096,-.168
1512,.279,-.472,-.153
1527,-.570,.437,-.187
1544,-1.586,-.371,.396
1562,-.729,-.207,-.048
1585,.429,-.156,-.219
1611,.662,.134,.022
1626,.180,.014,-.452
1642,-.051,-.076,-.128
1661,.438,-.108,.279
1684,.058,-.249,.284
1705,-.237,-.420,.235
1721,-.139,-.235,.265
1742,.204,-.035,.141
1765,.445,.220,.209
1781,-.023,.183,.042
1805,-.146,.128,.026
1824,.117,.096,.087
1842,.226,.029,.058
1870,.110,-.009,.001
1883,.042,-.022,-.015
1910,.077,-.001,.012
1927,.043,-.008,.001
1949,.040,.003,-.006
1982,.053,.008,-.006
1983,.073,.021,.000
2010,.055,.026,.006
2025,.032,.040,.027
2045,.045,.054,.025
2061,.008,.060,.021
2083,-.030,.058,-.022
2104,-.012,.065,-.038
2124,.008,.069,-.054
2141,.010,.063,-.063
2163,.029,.063,-.061
2184,.050,.068,-.065
2204,.062,.070,-.076
2223,.028,.075,-.093
2239,-.017,.085,-.109
2259,-.034,.093,-.120
2280,-.011,.090,-.136
2309,.020,.081,-.150
2330,.064,.082,-.154
2341,.089,.082,-.153
2362,.064,.069,-.154
2382,.054,.063,-.148
2405,.066,.055,-.134
2428,.049,.037,-.125
2450,.050,.022,-.098
2460,.061,.007,-.074
2478,.071,-.004,-.048
2501,.045,.002,-.017
2522,.004,-.008,-.004
2540,.001,.000,.025
2558,-.002,.007,.053
2580,-.011,.003,.077
2600,-.012,.002,.098
2621,-.011,.004,.104
2640,-.032,-.006,.095
2658,-.067,-.014,.093
2678,-.068,-.011,.094
2699,-.030,.000,.089
2726,.006,-.007,.087
2744,.016,-.012,.084
2764,-.018,-.019,.075
2784,-.047,-.015,.066
2804,-.040,-.014,.056
2826,-.024,-.019,.043
2845,-.013,-.015,.025
2858,-.021,-.019,.015
2885,-.041,-.026,.003
2896,-.044,-.018,-.001
2928,-.040,-.008,-.011
2944,-.034,-.001,-.026
2960,-.021,.004,-.039
2975,-.007,.016,-.048
2999,-.002,.024,-.061
3025,-.017,.038,-.072
3037,-.013,.057,-.078
3058,-.017,.075,-.082
3077,-.022,.087,-.092
3099,-.047,.097,-.093
3121,-.035,.110,-.101
3140,-.002,.180,-.096
3158,.103,.314,-.019
3178,.183,.462,-.007
3200,.462,.528,-.153
3221,.926,.405,-.272
3237,1.229,.091,.022
3258,-.889,.850,-.707
3276,-2.176,-.581,-.233
3298,-.358,.099,-.156
3316,.505,.252,-.210
3339,.339,.173,-.299
3355,-.231,-.058,-.451
3377,-.142,-.193,.065
3399,.373,-.217,.352
3418,.050,-.300,.415
3435,-.153,-.463,.406
3456,-.006,-.390,.490
3476,-.080,-.367,.105
3498,.218,.011,.292
3517,-.043,.058,.132
3538,-.221,.062,.043
3555,-.159,.070,.045
3575,-.099,.098,.018
3594,-.106,.150,.022
3615,-.054,.274,-.011
3635,.089,.335,-.083
3658,.012,.212,-.285
3676,.263,-.011,-.088
3694,.287,-.204,-.253
3714,-1.643,.109,-.431
3736,-1.554,-.676,.225
3757,-.328,-.400,-.605
3777,.579,.202,-.127
3796,.523,.047,-.314
3818,.370,.000,-.451
3836,.467,-.002,.144
3857,.598,-.084,.431
3878,.040,-.243,.159
3896,-.215,-.342,.114
3918,.061,-.298,.280
3947,.026,-.277,.254
3952,.061,-.158,.275
3974,.148,-.055,.248
3997,-.033,-.134,.158
4018,-.117,-.193,.180
4036,-.283,-.174,.155
4057,.047,-.056,.134
4074,.077,-.017,.161
4095,-.134,-.056,.097
4115,-.101,-.058,.077
4135,.023,-.048,.066
4153,.067,-.053,.043
4176,.059,-.055,.022
4195,.056,-.039,.017
4217,.017,-.028,.018
4233,-.047,-.018,.009
4254,-.054,-.017,-.008
4274,-.035,-.008,-.024
4293,-.021,.000,-.040
4316,-.029,.000,-.050
4335,-.068,.005,-.055
4354,-.090,.010,-.065
4374,-.118,-.004,-.077
4395,-.123,-.023,-.105
4412,-.104,-.045,-.132
4438,-.080,-.069,-.148
4457,-.072,-.085,-.155
4477,-.085,-.107,-.162
4500,-.084,-.125,-.166
4514,-.095,-.135,-.168
4537,-.134,-.169,-.192
4552,-.121,-.194,-.209
