time,x,y,z
14,-.023,-.072,-.126
17,.019,-.049,.054
22,-.018,-.066,.082
24,-.070,-.086,.039
27,-.076,-.087,.083
52,-.070,-.090,.137
59,-.056,-.089,.129
82,-.064,-.088,.113
97,-.095,-.090,.127
116,-.131,-.082,.132
141,-.127,-.072,.113
158,-.092,-.061,.110
175,-.087,-.055,.102
194,-.126,-.061,.067
213,-.157,-.076,.024
233,-.130,-.078,-.022
252,-.083,-.066,-.062
273,-.088,-.056,-.084
291,-.117,-.049,-.104
312,-.095,-.033,-.145
332,-.028,-.009,-.189
355,-.000,.015,-.194
376,.010,.027,-.185
396,.056,.040,-.189
409,.118,.060,-.172
431,.117,.061,-.137
449,.039,.045,-.123
469,-.012,.029,-.117
489,.027,.022,-.095
508,.106,.048,-.069
531,.142,.068,-.039
551,.124,.044,-.007
569,.110,.010,.002
587,.098,-.011,-.029
604,.050,-.011,-.028
628,.013,-.027,-.008
644,.012,-.029,-.006
664,.076,-.012,-.038
682,.106,-.007,-.024
707,.120,-.022,.005
725,.079,-.017,-.023
746,-.011,-.016,-.052
765,-.058,-.027,-.050
781,-.014,.000,-.047
803,.041,.018,-.046
823,.083,.017,-.042
840,.140,.024,-.068
857,.138,.028,-.116
880,.035,.040,-.145
901,-.093,.075,-.155
921,-.190,.095,-.149
940,-.279,.115,-.113
960,-.491,.144,-.078
980,-1.361,.364,-.067
997,-3.861,.672,-.101
1013,-8.275,.843,-.253
1032,-14.267,.516,-.525
1053,-20.591,-.330,-.783
1073,-24.222,-.997,-.861
1094,-24.364,-1.434,.152
1114,-19.278,-.823,.180
1132,-9.273,-.166,-1.551
1153,.392,-.187,-1.379
1172,5.594,.163,-.662
1192,5.021,.489,-.939
1213,3.909,.544,-.684
1232,6.761,.822,.033
1250,12.298,1.640,.295
1269,18.339,.816,-.378
1290,21.804,-.137,-1.390
1323,22.993,-.104,-1.764
1336,21.550,1.080,-1.588
1380,14.465,.938,-1.283
1381,4.250,-.176,-1.129
1419,-4.577,-.225,-.589
1441,-8.866,-.505,.004
1448,-9.903,-.194,.312
